Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,Type_L,Type_M,Machine failure
-1.0858238333168893,-0.9059233209623782,0.056854787525509994,0.28648520242426473,-1.7016788913174623,-0.06669535901431167,-0.12923999956395546,-0.10476790667570174,-0.09904331761985327,-0.049340487900312355,False,True,0
-1.0389194171364007,-0.8423274402349586,-0.7236334638395172,0.6353191301313617,-1.6546678477578478,-0.06669535901431167,-0.12923999956395546,-0.10476790667570174,-0.09904331761985327,-0.049340487900312355,True,False,0
-1.0858238333168893,-0.9695192016898337,-0.23241708186152807,0.9442863232433619,-1.623327152051438,-0.06669535901431167,-0.12923999956395546,-0.10476790667570174,-0.09904331761985327,-0.049340487900312355,True,False,0
-1.0389194171364007,-0.9059233209623782,-0.5871844688456314,-0.04241535798528352,-1.5919864563450283,-0.06669535901431167,-0.12923999956395546,-0.10476790667570174,-0.09904331761985327,-0.049340487900312355,True,False,0
-1.0389194171364007,-0.8423274402349586,-0.7236334638395172,0.007418060258587462,-1.5606457606386188,-0.06669535901431167,-0.12923999956395546,-0.10476790667570174,-0.09904331761985327,-0.049340487900312355,True,False,0
-1.0858238333168893,-0.9059233209623782,-0.6308481472436748,0.19678504958529708,-1.529305064932209,-0.06669535901431167,-0.12923999956395546,-0.10476790667570174,-0.09904331761985327,-0.049340487900312355,False,True,0
-1.0858238333168893,-0.9059233209623782,0.09506050612379804,0.24661846782916805,-1.4822940213725946,-0.06669535901431167,-0.12923999956395546,-0.10476790667570174,-0.09904331761985327,-0.049340487900312355,True,False,0
-1.0858238333168893,-0.9059233209623782,-0.07413624766862045,0.027351427556136138,-1.450953325666185,-0.06669535901431167,-0.12923999956395546,-0.10476790667570174,-0.09904331761985327,-0.049340487900312355,True,False,0
-0.9920150009558852,-0.8423274402349586,0.6899781242971404,-1.1287838757016708,-1.4196126299597753,-0.06669535901431167,-0.12923999956395546,-0.10476790667570174,-0.09904331761985327,-0.049340487900312355,False,True,0
-0.8982061685948812,-0.6515397980526278,1.0938671494790426,-1.1885839775943163,-1.3726015864001608,-0.06669535901431167,-0.12923999956395546,-0.10476790667570174,-0.09904331761985327,-0.049340487900312355,False,True,0
-0.9451105847753966,-0.7151356787800836,1.3176435012690155,-1.5972180071940585,-1.3255905428405463,-0.06669535901431167,-0.12923999956395546,-0.10476790667570174,-0.09904331761985327,-0.049340487900312355,False,False,0
-0.8513017524143659,-0.5879439173251723,-0.6417640668431857,0.43598545715587766,-1.2472388035745223,-0.06669535901431167,-0.12923999956395546,-0.10476790667570174,-0.09904331761985327,-0.049340487900312355,False,False,0
-0.8513017524143659,-0.5879439173251723,-1.1002326900226422,1.1137199452725235,-1.168887064308498,-0.06669535901431167,-0.12923999956395546,-0.10476790667570174,-0.09904331761985327,-0.049340487900312355,False,True,0
-0.8513017524143659,-0.5243480365977528,1.0993251092787981,-0.9892503046188322,-1.1218760207488836,-0.06669535901431167,-0.12923999956395546,-0.10476790667570174,-0.09904331761985327,-0.049340487900312355,False,True,0
